growth_transitions,location,year,diseases,scenario,both,disability,mortality
FALSE,Global,2142,Infant,100% reduction,1622.188706591692,152.92603075902556,1430.4163696081084
FALSE,Global,2143,Infant,100% reduction,1630.0130615538912,152.22687507944966,1438.7119599183407
FALSE,Global,2144,Infant,100% reduction,1637.7507474454517,151.5288889964466,1446.9219116112586
FALSE,Global,2145,Infant,100% reduction,1645.403014269208,150.8319642048311,1455.0476219874772
FALSE,Global,2146,Infant,100% reduction,1652.9708826895599,150.13610639911175,1463.090130461791
FALSE,Global,2147,Infant,100% reduction,1660.4538075166274,149.44115793663883,1471.0491155522166
FALSE,Global,2148,Infant,100% reduction,1667.8518154330711,148.74708385537625,1478.924689088996
FALSE,Global,2023,Adult (early),25% reduction,67.04924013147736,67.04924013147736,0
FALSE,Global,2024,Adult (early),25% reduction,68.56999697767544,67.77914376559924,0.7816349915590286
FALSE,Global,2025,Adult (early),25% reduction,70.09389406385898,68.4880661573553,1.5873129205198289
FALSE,Global,2026,Adult (early),25% reduction,71.62275999792766,69.17955634346676,2.415317762820244
FALSE,Global,2027,Adult (early),25% reduction,73.1545696893692,69.85275456702041,3.264479269938469
FALSE,Global,2028,Adult (early),25% reduction,74.67339068560791,70.49289484325219,4.133629547462464
FALSE,Global,2029,Adult (early),25% reduction,76.20044533236599,71.12222598569775,5.0217793551359176
FALSE,Global,2030,Adult (early),25% reduction,77.72062706784534,71.72723988902092,5.92728218901062
FALSE,Global,2031,Adult (early),25% reduction,79.23342163272572,72.30885701546669,6.848710386106491
FALSE,Global,2032,Adult (early),25% reduction,80.74035463719463,72.87024756309319,7.784422465301514
FALSE,Global,2033,Adult (early),25% reduction,82.22519270152856,73.39687054404736,8.732727052691459
FALSE,Global,2034,Adult (early),25% reduction,83.72199770512009,73.92412912592411,9.692327620618821
FALSE,Global,2035,Adult (early),25% reduction,85.20795820098114,74.43111291580296,10.661252310428619
FALSE,Global,2036,Adult (early),25% reduction,86.6843232663908,74.92076439376736,11.637816874174119
FALSE,Global,2037,Adult (early),25% reduction,88.15277227087117,75.39649247820186,12.620300194293023
FALSE,Global,2038,Adult (early),25% reduction,89.6005910595169,75.84737516723632,13.606924454338074
FALSE,Global,2039,Adult (early),25% reduction,91.04627896329403,76.29327088305855,14.596362673238755
FALSE,Global,2040,Adult (early),25% reduction,92.47706462153435,76.72272965765762,15.587257930415154
FALSE,Global,2041,Adult (early),25% reduction,93.89401930749511,77.13792050034999,16.578524167596818
FALSE,Global,2042,Adult (early),25% reduction,95.29749119350528,77.54058966450023,17.56877535398865
FALSE,Global,2043,Adult (early),25% reduction,96.67986068008233,77.92420769416904,18.556943182418824
